Question Type: multipleresponse,Parent Category,Category,Random Answers,Grade Style,Correct Feedback,Incorrect Feedback,Points,Question,Correct,Answer A,Answer B,Answer C,Answer D,Answer E,Answer F,Answer G,Answer H,Answer I,Answer J
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,Outcome metrics and experiments refocus on value over activity.,More proxies or secrecy prolong value blindness.,1,"A Scrum Team uses proxy metrics (commits, hours) to claim success despite low customer impact. What should the Scrum Master enable?","A,C",Establish outcome metrics aligned with the Product Goal and review them in Sprint Reviews.,Double down on proxy metrics for easier tracking.,Run small experiments and measure user behavior changes.,Keep internal KPIs private to avoid scrutiny.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,Goal-first planning and minimal tasking enable adaptation toward outcomes.,Over-planning or banning tasks both miss balance and purpose.,1,"Your team's Sprint Planning fixates on task hours, not outcomes. What should the Scrum Master shift?","A,B",Begin with crafting a clear Sprint Goal tied to Product Goal outcomes.,"Limit task breakdown to what's necessary to start, leaving room to inspect/adapt.",Prohibit all tasking to save time.,Set a policy that each person must have 40 hours planned.,,,,,,
multipleresponse,PSM II,Anti-pattern Diagnosis,Yes,Off,Team-level transparency and outcome focus preserve trust and effectiveness.,Individual policing via tasks erodes trust and distorts behavior.,1,A leader insists the Scrum Master measure individual performance via Sprint Backlog updates. What responses uphold Scrum?,"A,B",Educate that the Sprint Backlog is a team plan; evaluate outcomes and collaboration patterns instead of individual task metrics.,"Show aggregate team flow metrics and value outcomes to inform coaching, not policing individuals.",Publish individual task completion rates to drive accountability.,Ask Developers to log activities hourly.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,One Product Backlog and cross-team refinement reduce duplication and confusion.,"Separate lists, committees, or tolerating duplicates fragment clarity.",1,Your product has multiple Scrum Teams. Product Backlog items are frequently duplicated across teams. What should the Scrum Master support?,B,Maintain separate backlogs and sync biweekly.,Use a single Product Backlog with one Product Owner; establish cross-team refinement to clarify ordering and shared understanding.,Create a central committee to approve new items only.,Allow duplicates but flag them later.,,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,"Open, evidence-based Reviews drive meaningful feedback and growth.",Restricting or emailing avoids learning and weakens empiricism.,1,A team asks to restrict Sprint Review attendees to avoid 'tough questions.' What should the Scrum Master promote?,"A,B",Keep Reviews open to key stakeholders and users to maximize learning.,Prepare the team to show a usable Increment and discuss evidence-based outcomes.,Limit to internal staff until morale improves.,Replace with emailed release notes.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Built-in observability and data-informed Reviews enhance empiricism and value discovery.,Staging demos or deferring telemetry weaken learning.,1,Your Increment is technically usable but lacks observability in production. Stakeholders struggle to assess value. What should the Scrum Master support?,"A,C",Add observability criteria to the Definition of Done where appropriate.,Demonstrate in staging only to avoid noise.,Use Sprint Reviews to inspect real usage data and co-decide next steps.,Defer telemetry until after full feature parity.,,,,,,
multipleresponse,PSM II,Organizational Impediments,Yes,Off,Team outcomes and value reduce gaming and align incentives with Scrum.,Hours or personal points reward proxies and harm collaboration.,1,Management plans to award bonuses for individual velocity gains. What should the Scrum Master do?,"A,C",Advise against individual velocity metrics; focus on team outcomes and value impact.,Suggest bonuses for most hours worked.,Use Sprint Reviews and shared goals to reinforce team accountability.,Publish a leaderboard of points per person.,,,,,,
multipleresponse,PSM II,Efficiency vs Empiricism Trap,Yes,Off,"Lightweight, evolving design and examples respect complexity and speed feedback.",Fixed documents and phase splits reduce adaptability.,1,The Scrum Team is pressured to adopt fixed design documents before coding. What should the Scrum Master support?,"A,B",Timeboxed design spikes and collaborative modeling during refinement and development.,Define acceptance tests/examples early and evolve them as learning emerges.,Mandate a fixed design template that cannot change.,Separate design Sprints from build Sprints.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,Respecting ownership and collaborating through Daily Sprint planning preserves focus and flexibility.,No-change rules or free swapping both miss the boundary and purpose.,1,The Product Owner often reorders the Sprint Backlog mid-Sprint. Disruption follows. What should the Scrum Master do?,"A,B",Clarify that Developers own the Sprint Backlog and adapt it to meet the Sprint Goal; the PO collaborates but doesn't reorder it directly.,Use the Daily Scrum to let Developers plan adjustments with PO input toward the Sprint Goal.,Prevent any change whatsoever until Sprint end.,Allow PO to swap items freely if of equal size.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Flexing cadence to context while aligning where beneficial preserves empiricism and coordination.,Blanket mandates or finance-led choices ignore product needs.,1,A large organization wants to impose a uniform Sprint length across all products for governance. What should the Scrum Master suggest?,"A,B","Allow variation per product/team based on feedback needs, within reasonable bounds.","Adopt a minimal common cadence only where cross-team coordination benefits, not as a blanket rule.",Mandate two-week Sprints for everyone.,Have finance choose the Sprint length.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Reframing Agile as value and learning changes incentives and decisions.,Speed-only tactics ignore learning and can reduce value.,1,The organization equates 'Agile' with delivering faster only. What should the Scrum Master champion?,"A,B","Scrum optimizes for learning and value, not just speed; use inspection and adaptation to reduce risk and increase outcomes.","Measure impact with clear Product Goals and evidence from Reviews, not just cycle time.",Focus solely on shortening Sprints.,Set aggressive utilization targets.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Acceptance criteria are not the full DoD; broader quality and automation protect users.,PO sign-off or deferring ops embeds the false equivalence and increases risk.,1,A team treats acceptance criteria as the only quality bar. Production incidents rise. What should the Scrum Master coach?,"A,B",Expand Definition of Done beyond acceptance criteria to include non-functional and operational quality.,Use exploratory testing and automated checks as part of DoD.,Rely solely on PO sign-off for acceptance.,Defer operational concerns until post-release.,,,,,,
multipleresponse,PSM II,Organizational Impediments,Yes,Off,Outcome-focused governance and empirical evidence make gates unnecessary.,Gates and roles entrench waterfall thinking inside Sprints.,1,"A governance group demands phase-gates within Sprints (design gate, build gate, test gate). What should the Scrum Master pursue?","A,B",Educate on integrated work within Sprints producing a usable Increment and align governance to outcomes instead of phase approvals.,Timebox experiments to demonstrate risk reduction without gates.,Adopt gates to comply immediately.,Create gate-owner roles in the Scrum Team.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,PO presence or proper delegation is essential for ordering and Sprint Goal creation.,Bypassing PO input or email planning undermines collaboration and clarity.,1,Developers complain that the Product Owner frequently skips Sprint Planning. What should the Scrum Master ensure?,"A,D",The Product Owner participates to present Product Backlog ordering and craft the Sprint Goal with the team.,Developers select work solely based on past Sprints without PO input.,Move Sprint Planning to email to accommodate schedules.,Postpone Planning until the Product Owner is available or delegated appropriately.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,"Maintain PO accountability with supportive delegation, not abdication.",Shifting engagement to others or skipping it undermines value decisions.,1,A Product Owner wants to outsource stakeholder engagement to a business analyst. What should the Scrum Master reinforce?,A,The Product Owner remains accountable for maximizing value and should directly engage key stakeholders while leveraging the analyst for support.,Developers should take over stakeholder engagement.,The Scrum Master should collect requirements instead.,Stakeholder engagement can be skipped if the backlog is full.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,"Thin slices, WIP limits, and swarming increase flow and Done Increments.",Partial credit or longer Sprints mask bottlenecks.,1,A team struggles to finish items; many are partially done each Sprint. What should the Scrum Master encourage?,"A,B",Limit WIP and slice work thinner to achieve Done each Sprint.,Use the Daily Scrum to plan swarming on near-done items first.,Count partial credit to keep morale high.,Extend Sprints to finish everything.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,"These approaches improve transparency through telemetry, shorten feedback loops via smaller releases and feature toggles, and embed quality through an expanded Definition of Done and automation.",This conclusion is incorrect because heavier documentation does not replace empirical validation in production-like settings and faster feedback.,1,"A recent release had positive Sprint Review feedback, yet user adoption dropped after deployment due to environment-specific failures. Which actions best strengthen empiricism? (Select all that apply)","B,C,D",Increase upfront solution documentation to avoid surprises.,Expand the Definition of Done and pipeline to include automated deployment and validation in production-like environments.,"Incorporate product telemetry review into Sprint Reviews to inspect outcomes, not only output.","Adopt smaller, more frequent releases with techniques like feature toggles to de-risk environment differences.",,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,"These approaches emphasize flow, smaller increments, and continuous re-planning toward the Sprint Goal, which are central to empiricism.",This conclusion is incorrect because converting to hours confuses purpose and typically reduces transparency rather than improving flow.,1,The team often carries over work. They suspect estimates are inaccurate. What actions would increase transparency and help inspection/adaptation? (Select all that apply),"A,C,D",Introduce explicit WIP limits and swarm to finish before starting new work.,Convert story points to hours for precise tracking.,Slice Product Backlog Items vertically to reduce size and deliver usable increments sooner.,"Use the Daily Scrum to re-plan around the Sprint Goal, making trade-offs visible.",,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,Frequent integration combined with a shared Definition of Done ensures that integration quality remains transparent each Sprint.,Delaying integration or introducing additional process layers shifts integration away from the Increment and reduces timely feedback.,1,Two teams integrate only at the end of the Sprint and find critical defects late. Which steps improve empirical control? (Select all that apply),"A,B",Adopt continuous integration with at least daily merges and automated tests.,"Establish a shared, product-level Definition of Done that includes integration.",Plan a 'hardening Sprint' every quarter to focus on integration.,Create an integration approval board to review design documents before coding.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,"These approaches enhance product transparency, align stakeholders around the Product Goal, and enable outcome-focused inspection.",Focusing on presentation or status reporting shifts attention away from inspecting the product and adapting based on outcomes.,1,Stakeholders were surprised at the Sprint Review: the Increment met the Sprint Goal but not their expectations. What actions strengthen empiricism and alignment? (Select all that apply),"A,C,D",Base Sprint Reviews on inspecting the working product together and co-creating next steps.,Increase slide quality to better communicate status.,Make the Product Goal visible and reference it when ordering the Product Backlog.,Invite key stakeholders to mid-Sprint check-ins oriented around outcomes rather than status updates.,Replace Sprint Reviews with written updates to reduce meeting time.,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,"These approaches foster psychological safety, enable systemic improvement, and increase transparency, all of which are critical to empiricism and sustainable learning.",Punitive responses undermine psychological safety and drive issues underground rather than making them visible.,1,"A blame culture emerges after defects are found in production. What interventions support a healthier, learning-oriented environment? (Select all that apply)","B,C,D",Institute punitive fines for the Developer who introduced the defect.,Facilitate blameless incident reviews that focus on improving systems and practices.,Increase transparency of quality signals and build them into the Definition of Done.,Encourage leaders to model vulnerability and curiosity when things go wrong.,,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,Clarity of accountabilities combined with a focus on the Sprint Goal supports empiricism and enables timely adaptation.,Forbidding cancellation removes a key mechanism for responsiveness and limits the ability to learn and adapt.,1,Teams hesitate to cancel a Sprint even when the Sprint Goal is clearly obsolete due to a market event. What changes promote healthy decision-making? (Select all that apply),"A,B,D",Teach that the Product Owner may cancel the Sprint when the Sprint Goal is no longer valid.,Celebrate appropriate Sprint cancellations as learning rather than failure.,Add a policy forbidding Sprint cancellation to maintain cadence.,Make the Sprint Goal explicit and referenced daily to guide decisions.,,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,"Aligning incentives, development practices, and communities around learning and outcomes strengthens collaboration and overall effectiveness.",Increasing secrecy or misusing metrics damages collaboration and reduces transparency.,1,"The organization ranks individuals annually, creating internal competition. Collaboration is deteriorating. What steps support a culture aligned with Scrum? (Select all that apply)","A,B,E",Shift measurement toward product outcomes and team effectiveness over individual rankings.,"Work with HR to redesign performance management to emphasize growth, peer feedback, and shared goals.",Ask the Product Owner to privately compensate top performers to offset ranking stress.,Publish individual velocity metrics to make contributions visible.,Encourage cross-team communities of practice to share learning.,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,"These approaches reinforce empiricism, maintain a focus on value, and support transparent decision-making under uncertainty.","Fear-based approaches encourage gaming behavior and reduce transparency, which conflicts with Scrum principles.",1,Executives demand exact predictability. Teams are pressured to commit to fixed scope each Sprint. What responses align with Scrum and promote healthy culture? (Select all that apply),"A,B,D",Teach forecasting with ranges and communicate uncertainty transparently.,Use Evidence-Based Management (EBM) or similar outcome metrics to shift the conversation from output to value.,Enforce tighter commitments by penalizing missed scope to increase predictability.,Make risk and assumptions visible in Sprint Planning and Reviews to invite informed trade-offs.,Avoid sharing uncertainty to maintain confidence.,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,"These approaches promote knowledge sharing, improve quality, and build resilience, which are key characteristics of an adaptable culture.",Strict ownership boundaries reinforce silos and reduce system resilience.,1,Knowledge hoarding is common. A few specialists own critical components. What actions build a learning culture? (Select all that apply),"A,B,D",Introduce pairing/mobbing and rotate work to spread knowledge.,Adopt a Definition of Done that includes peer reviews or pairing on complex changes.,Enforce strict component ownership to improve accountability.,Allocate time for cross-training and improvement in each Sprint.,,,,,,
multipleresponse,PSM II,Cultural Change Questions,Yes,Off,"A product-oriented approach emphasizes stable teams, clear Product Ownership, and continuity of vision through a Product Goal and Product Backlog.",Maintaining a project mindset and command-and-control structures undermines a product-oriented approach.,1,The company is moving from project to product. Which actions support the cultural shift? (Select all that apply),"A,B,D,F","Create stable, cross-functional teams aligned to long-lived products.",Empower a single Product Owner per product with clear value accountability.,Continue annual big-bang planning and fixed staffing rotations.,"Fund products rather than projects, enabling teams to pursue a Product Goal over time.",Keep project managers assigning daily tasks to ensure control.,Consolidate learning in a long-lived Product Backlog.,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,Assigning tasks centrally or bypassing the Product Owner violates clear accountabilities and undermines self-management.,This interpretation incorrectly dismisses valid accountabilities where the Product Owner orders the backlog and Developers determine how work is performed.,1,Which situations represent boundary violations in Scrum accountabilities? (Select all that apply),"B,C",The Product Owner reorders the Product Backlog based on value and feedback.,The Product Owner assigns tasks to individual Developers during Sprint Planning.,A stakeholder bypasses the Product Owner and tells a Developer what to build in the Sprint.,Developers decide how to implement the selected work.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Protect the Daily Scrum's purpose while creating a separate forum to tackle the impediment with focus.,Immediate removal may not be feasible or valuable; reducing Daily Scrum frequency decreases transparency and adaptation.,1,"A vendor component is failing intermittently. The team tends to debate blame in Daily Scrums, losing focus. As Scrum Master, what are the best immediate steps?","A,B","Coach the Developers to use the Daily Scrum to inspect progress toward the Sprint Goal and adapt the plan, not to solve the vendor issue there.",Facilitate a timeboxed follow-up investigation outside the Daily Scrum with the right people.,Escalate to the Product Owner to remove the vendor entirely this Sprint.,Turn Daily Scrums into twice-weekly to reduce unproductive debate.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Make the gate visible and integrate environment work into early Sprints to maintain empiricism and deliver increments sooner.,Sprint 0 and skipping Reviews delay inspection and undermine Scrum's empirical control.,1,"A platform team insists on ""Sprint 0"" for environments before development Sprints can start. Two business Scrum Teams are waiting. What are the best actions now?","A,B",Expose the delay as an impediment and facilitate options for incremental environment setup within early Sprints.,"Coach the business teams to include environment creation work in their Sprint Backlogs, collaborating with the platform team.",Accept Sprint 0 as necessary technical work before real Sprints begin.,Ask the Product Owner to plan a quarter with no Sprint Reviews until the platform is stable.,,,,,,
multipleresponse,PSM II,Anti-pattern Diagnosis,Yes,Off,The issue is undone work and phase separation. Focus on completing the Increment and improving the system rather than maximizing individual busyness.,"Starting new scope or overtime hides systemic flow problems and increases WIP, reducing transparency and releasability.",1,"A team finishes coding early and wants to ""pull future Sprint work"" because testers are busy finishing the previous Sprint's items. What should the Scrum Master encourage now?","A,B",Expose the lack of Done as an impediment and focus the team on helping achieve Done for current Sprint work.,Facilitate a DoD and workflow review to reduce handoffs and stage-gates.,Allow pulling future work to keep coders busy and avoid idle time.,Ask testers to work overtime to catch up while developers start new scope.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Outcome-oriented backlog and collaborative Sprint Reviews align expectations through transparency and inspection.,More people can worsen coordination; over-specifying pushes toward contract over collaboration and reduces discovery.,1,"Stakeholders complain that the team ""never delivers what we asked"" even though Sprint Backlog items are done. What steps address the root cause?","A,B",Help the Product Owner improve Product Backlog transparency by expressing items in terms of outcomes and acceptance criteria tied to value.,Facilitate richer Sprint Reviews with real usage scenarios and collaborative inspection of the Increment.,Increase velocity by adding more Developers to meet expectations.,Ask stakeholders to submit more detailed specifications to avoid ambiguity.,,,,,,
multipleresponse,PSM II,Organizational Impediments,Yes,Off,Daily Scrum is a team event. Use optional coordination mechanisms for cross-team dependencies without replacing the event's purpose.,Time-limiting a misframed meeting or having the PO run it doesn't restore the event's intent.,1,"A manager insists all three Scrum Teams working on the same product run a combined Daily Scrum for ""alignment."" It lasts 45 minutes and few Developers speak. What should you do?","A,B",Coach that each Scrum Team holds its own Daily Scrum to inspect progress toward its Sprint Goal.,"Facilitate a short, optional cross-team sync focused on dependencies outside of Daily Scrums.",Keep the combined Daily Scrum and limit each person to 30 seconds.,Ask Product Owner to run the combined meeting to improve focus.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,Reinforce PO accountability and channel influence through empirical forums. Transparency plus Product Goal alignment reduces politics-driven ordering.,"Shadow backlogs and appeasement undermine transparency and the PO's role, inviting more bypassing.",1,"Two executives ask you, the Scrum Master, to prioritize their pet features ahead of the Product Owner's ordering because ""funding comes from us."" What are the best responses?","A,B",Clarify Product Owner accountability for value and ordering and invite the executives to collaborate in Sprint Reviews and refinement.,Make the pressure transparent and support the PO in negotiating based on Product Goal and evidence from Increments.,Create a separate executive backlog to keep them satisfied without changing the Product Backlog.,Agree temporarily to maintain relationships and revisit later.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Stabilizing the pipeline and integrating frequently restores empirical feedback and reduces late surprises.,Delaying or redefining Done hides integration risk and undermines releasability.,1,"The team's CI pipeline is flaky. Developers avoid integrating until late in the Sprint to prevent ""noise."" What are the best actions now?","A,B","Treat the flaky pipeline as an impediment; invest in stabilizing it within the Sprint, reordering work if necessary.",Coach the team to integrate more frequently with smaller changes to reduce risk and improve feedback.,Delay integration until the Sprint Review to ensure stable demos.,Add a final integration task to each PBI and consider work done when code is merged locally.,,,,,,
multipleresponse,PSM II,Organizational Impediments,Yes,Off,Splitting without clear Product Backlog ownership and boundaries causes duplication. Clarify ordering and consider team structure aligned to Product Goal.,"Central allocation and last-minute picks reduce ownership and transparency, worsening duplication.",1,"Two teams building the same product keep duplicating work due to unclear boundaries. What should you, as Scrum Master for both, do?","A,B",Facilitate a joint session with both Product Owners and Developers to clarify Product Backlog ordering and a shared understanding of components and outcomes.,"Make dependencies visible and consider forming a single, larger Scrum Team if one Product Backlog and Goal better fits the work.",Create a central PMO to allocate items to teams each Sprint.,Ask the teams to avoid overlapping work by picking items last minute.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Retrospectives enable adaptation. Improving the event and making trade-offs visible upholds empiricism.,Skipping or substituting with surveys removes the inspect-adapt loop critical to effectiveness.,1,"Developers ask to cancel Retrospectives for the next two Sprints to ""focus on delivery."" What are the best responses?","A,B",Explore why the event feels low value and co-create an experiment to make it impactful while keeping it.,Make the cost of skipping continuous improvement transparent to stakeholders and tie improvements to Sprint Goals.,Agree to skip and promise a longer Retrospective later.,Replace the Retrospective with a survey so work continues uninterrupted.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,External gates reduce adaptability. Folding compliance into DoD and refinement keeps transparency and flow.,"Speeding approvals or deferring risk keeps gating and hides issues, harming empiricism.",1,A new compliance officer demands to pre-approve each PBI before it can enter a Sprint. What actions should you take?,"A,B",Make the added gate and its impact on lead time transparent and explore embedding compliance criteria into the Definition of Done.,Facilitate collaboration so compliance concerns are expressed as testable acceptance criteria refined with the Product Owner and Developers.,Agree and ask the officer to speed up approvals to keep the cadence.,Park all risky items until the next release when compliance can review them together.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Shared assets require earlier collaboration and integrated DoD to reduce late surprises. Mid-Sprint reviews enhance empirical feedback.,Deferring integration or arbitrary ownership ignores the cross-team nature and empirical learning.,1,Your two Scrum Teams integrate via a shared library owned by neither team. Integration issues surface at Sprint Reviews. What should you do now?,"A,B",Establish joint refinement and Definition of Done changes so integration and library evolution are addressed during the Sprint.,Create a visible integration plan and run mid-Sprint cross-team reviews with working software.,Delay integration to release time when all features are complete.,Ask one team to own the library permanently regardless of Product Backlog ordering.,,,,,,
multipleresponse,PSM II,Anti-pattern Diagnosis,Yes,Off,Sprint Reviews inspect a working Increment and adapt plan. Hands-on exploration and Product Goal framing foster valuable feedback.,Slides and frequency tweaks don't substitute for inspecting the product itself.,1,Your team's Sprint Review is dominated by slides; stakeholders rarely touch the product. What are the best immediate changes?,"A,B",Show working software and invite stakeholders to explore scenarios that matter to them.,Frame the conversation around the Product Goal and how today's Increment informs next steps.,Add more slides to explain technical debt in detail.,Shorten the Sprint to increase the number of slides shown monthly.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Daily Scrum serves adaptation for the coming day. An earlier time supports alignment to the Sprint Goal; try and inspect.,Late-only and reduced frequency harm timely inspection and adaptation.,1,"Developers want to move the Daily Scrum to late afternoon because ""most work happens after lunch."" The Sprint Goal is being missed frequently. What are the best options?","A,B",Coach that the event optimizes the next 24 hours; hold it early enough to adapt the day's plan.,Experiment with an earlier time and inspect whether progress toward the Sprint Goal improves.,Agree to the late slot as long as everyone attends to respect self-management.,Reduce the frequency to three times a week to gain focus time.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,Favor live interaction while adding asynchronous mechanisms on real Increments to maintain feedback across zones.,"Newsletters and rare Reviews replace inspection of the Increment with status updates, reducing learning.",1,A data team's users are global. Sprint Reviews are poorly attended due to time zones. What actions best uphold empiricism?,"A,B",Rotate Review times and record sessions while prioritizing interactive attendance when possible.,Engage representative stakeholders in live sessions and gather asynchronous feedback on the working Increment.,Cancel Reviews and send a monthly newsletter with screenshots.,Hold Reviews only for major releases to avoid scheduling issues.,,,,,,
multipleresponse,PSM II,Empirical Failure Analysis,Yes,Off,Handling incidents transparently and adapting the plan builds trust and empiricism; updating DoD/agreements addresses systemic quality.,Ignoring or canceling Sprints for incidents undermines empiricism and stability.,1,"Production incidents spike during Sprints. The team treats them as ""unplanned"" and ignores them until after Sprint Review. What are the best immediate steps?","A,B",Make incident response visible in the Sprint Backlog and adapt the plan to protect the Sprint Goal where possible.,Facilitate an update to the Definition of Done and working agreements to include necessary operational quality criteria.,Ignore incidents during the Sprint to maintain focus on forecasted work.,Cancel the Sprint whenever an incident occurs.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,Approving goals violates boundaries and slows adaptation. Embed constraints in DoD/criteria and use empirical forums for alignment.,Adding gates or removing goals harms focus and empiricism.,1,A legal team requires approval of every Sprint Goal to ensure compliance. What should the Scrum Master do?,"A,B",Make this gate and its delays visible; collaborate to encode non-negotiable constraints into DoD and acceptance criteria instead of approving Sprint Goals.,"Invite legal to Sprint Reviews and refinement to influence direction through transparent conversation, not pre-approvals.",Route Sprint Goals through the PMO for faster legal review.,Ask Developers to stop setting Sprint Goals to avoid approvals.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,"Dictating the Sprint Goal or prescribing the Sprint Backlog undermines the accountabilities of Developers and the Product Owner, weakening self-management.",This interpretation overlooks appropriate behaviors such as facilitation and enabling self-organization.,1,Which actions by a Scrum Master or manager cross Scrum boundaries? (Select all that apply),"B,C",The Scrum Master facilitates the team's creation of a Sprint Goal.,The Scrum Master dictates the Sprint Goal content for faster alignment.,A manager sets the Sprint Backlog for the team to ensure delivery.,Developers self-select tasks and plan their work.,,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,Restricting team design decisions or misusing Scrum events for performance management breaks boundaries and harms openness and self-management.,These options can align with Scrum when they enable outcomes and preserve Product Owner accountability rather than introducing control.,1,"In a multi-team environment, which behaviors violate Scrum boundaries? (Select all that apply)","B,D",An architecture board sets lightweight guardrails and enables teams to make local decisions.,"An architecture board must approve each design detail before coding, gating team decisions.",The Product Owner delegates refinement activities to domain experts while retaining ordering decisions.,A line manager uses Daily Scrum attendance to rate individual performance.,Compliance requires traceability evidence captured through automated pipelines.,,,,,
multipleresponse,PSM II,Boundary Violation Detection,Yes,Off,"Only the Product Owner may cancel a Sprint, Sprint timeboxes are fixed, and Product Backlog ordering remains the Product Owner's accountability.",This interpretation overlooks correct accountabilities such as Product Owner authority to cancel and Developers selecting their forecast.,1,Which of the following are boundary violations? (Select all that apply),"A,C,D",A VP cancels a Sprint because they dislike the Increment.,The Product Owner cancels a Sprint when the Sprint Goal becomes obsolete.,The Scrum Master extends the Sprint by two days so work can be completed.,Stakeholders directly order the Product Backlog for the team.,Developers select how many PBIs to forecast for the Sprint.,,,,,
multipleresponse,PSM II,Efficiency vs Empiricism Trap,Yes,Off,"These approaches incorrectly equate metrics or artifacts with outcomes or purposes, which leads to misunderstanding empiricism.",This reflects a valid empirical principle; treating it as incorrect indicates confusion between sound reasoning and misleading comparisons.,1,Which statements are examples of false equivalence that can mislead Scrum adoption? (Select all that apply),"A,B,C",Higher velocity always equals higher value.,Shorter Sprints always increase throughput.,A Sprint Goal is the same as a list of PBIs.,Transparency enables inspection and adaptation.,,,,,,
multipleresponse,PSM II,Anti-pattern Diagnosis,Yes,Off,"These approaches conflate distinct concepts, resulting in harmful practices and confusion about proper accountabilities.",This statement accurately reflects role clarity; rejecting it suggests misunderstanding of accountabilities.,1,Select the statements that reflect false equivalence and can create anti-patterns. (Select all that apply),"A,B,C",The Definition of Done is the same as acceptance criteria for a single story.,The Scrum Master is the team's administrator.,The Product Backlog is the same as a detailed requirements specification.,The Product Owner is accountable for maximizing product value.,,,,,,
multipleresponse,PSM II,Tradeoff Scenario,Yes,Off,"These approaches confuse Scrum events or concepts with phase-gate or command-and-control practices, which misaligns with Scrum principles.",This interpretation confuses capacity and value considerations and misrepresents the meaning of a Done Increment.,1,Which statements are false equivalences that undermine Scrum? (Select all that apply),"B,C,D,E","Velocity measures capacity, not value.",Backlog refinement is the same as upfront requirements analysis.,The Sprint Review is a go/no-go sign-off meeting.,Canceling a Sprint means stopping all work on the product.,The Daily Scrum is a status meeting run by the Scrum Master.,An Increment must be potentially releasable to be considered Done.,,,,
multipleresponse,PSM II,Efficiency vs Empiricism Trap,Yes,Off,These approaches preserve the purpose of Scrum events while increasing team autonomy and capability.,Requiring permission to contribute suppresses collaboration and limits learning.,1,Over-control is reducing team ownership. What interventions shift toward self-management? (Select all that apply),"A,B,D",Timebox the Daily Scrum but let Developers choose how to run it to accomplish its purpose.,Co-create working agreements that clarify decision boundaries and empower the team.,Require tickets for permission to speak in events to maintain order.,Use facilitation techniques that balance participation and gradually step back as the team owns the process.,,,,,,
multipleresponse,PSM II,Over-control Trap,Yes,Off,"These approaches combine education, appropriate consistency for shared products, and outcome-oriented governance while avoiding rigid prescriptions.","Avoiding coaching abdicates responsibility, while antagonistic behavior fails to produce sustainable change.",1,A portfolio office mandates identical Sprint lengths and ceremony scripts for every team. Which Scrum Master responses are appropriate? (Select all that apply),"A,B,D",Educate leaders that Scrum defines minimal constraints; teams decide many practices within those boundaries.,Encourage consistent Sprint lengths for teams working on the same product while letting them choose that cadence.,Comply blindly to avoid friction.,Partner with executives to evolve governance toward enabling outcomes rather than prescribing practices.,Escalate to demand immediate removal of the portfolio office.,,,,,
